date,open,high,low,close,volume
2024-01-02,9.39,9.42,9.21,9.21,115836645.0
2024-01-03,9.19,9.22,9.15,9.2,73361031.0
2024-01-04,9.19,9.19,9.08,9.11,86419399.0
2024-01-05,9.1,9.44,9.07,9.27,199162216.0
2024-01-08,9.23,9.3,9.11,9.15,112115619.0
2024-01-09,9.16,9.19,9.09,9.18,76619388.0
2024-01-10,9.16,9.19,9.09,9.09,85862091.0
2024-01-11,9.08,9.22,9.03,9.17,93468637.0
2024-01-12,9.13,9.27,9.11,9.19,77258215.0
2024-01-15,9.16,9.29,9.13,9.21,74513266.0
2024-01-16,9.19,9.35,9.16,9.34,143831258.0
2024-01-17,9.33,9.39,9.23,9.23,148229621.0
2024-01-18,9.21,9.24,9.0,9.2,175513247.0
2024-01-19,9.16,9.2,9.1,9.17,96398142.0
2024-01-22,9.16,9.26,9.04,9.1,158031966.0
2024-01-23,9.05,9.18,8.96,9.16,113554458.0
2024-01-24,9.23,9.34,9.07,9.33,175912316.0
2024-01-25,9.33,9.54,9.27,9.5,216251395.0
2024-01-26,9.47,9.67,9.44,9.62,227228706.0
2024-01-29,9.69,9.88,9.58,9.7,237625184.0
2024-01-30,9.61,9.7,9.49,9.5,157912214.0
2024-01-31,9.46,9.56,9.38,9.46,135721747.0
2024-02-01,9.41,9.48,9.34,9.41,105525987.0
2024-02-02,9.42,9.47,9.07,9.27,163421431.0
2024-02-05,9.19,9.43,9.11,9.38,180359190.0
2024-02-06,9.3,9.68,9.29,9.68,199540954.0
2024-02-07,9.62,9.67,9.48,9.61,206201497.0
2024-02-08,9.58,9.67,9.52,9.67,165681384.0
2024-02-19,9.76,9.81,9.65,9.81,160524265.0
2024-02-20,9.79,9.84,9.73,9.82,112356398.0
2024-02-21,9.78,10.8,9.77,10.8,505528460.0
2024-02-22,10.65,10.91,10.62,10.9,492232512.0
2024-02-23,10.88,11.24,10.84,10.85,356747950.0
2024-02-26,10.78,10.88,10.5,10.53,286260888.0
2024-02-27,10.49,10.6,10.46,10.5,198190492.0
2024-02-28,10.51,10.7,10.4,10.49,308269265.0
2024-02-29,10.42,10.59,10.41,10.59,184534423.0
2024-03-01,10.59,10.6,10.43,10.49,182810290.0
2024-03-04,10.45,10.5,10.32,10.33,165592954.0
2024-03-05,10.3,10.47,10.26,10.43,181731907.0
2024-03-06,10.4,10.45,10.33,10.33,134564016.0
2024-03-07,10.33,10.64,10.33,10.38,201616589.0
2024-03-08,10.35,10.44,10.3,10.38,111397428.0
2024-03-11,10.38,10.47,10.34,10.47,121067298.0
2024-03-12,10.48,10.59,10.41,10.56,164126237.0
2024-03-13,10.53,10.55,10.3,10.33,176803911.0
2024-03-14,10.3,10.38,10.2,10.23,140939973.0
2024-03-15,10.55,10.75,10.5,10.6,375020789.0
2024-03-18,10.56,10.61,10.49,10.54,167139651.0
2024-03-19,10.53,10.54,10.39,10.4,129321558.0
2024-03-20,10.38,10.47,10.37,10.45,87266316.0
2024-03-21,10.45,10.52,10.42,10.47,86446625.0
2024-03-22,10.45,10.45,10.31,10.36,102814174.0
2024-03-25,10.35,10.49,10.32,10.4,95320221.0
2024-03-26,10.45,10.66,10.42,10.6,174002146.0
2024-03-27,10.56,10.63,10.51,10.53,127413599.0
2024-03-28,10.51,10.57,10.38,10.49,130218892.0
2024-03-29,10.45,10.57,10.43,10.52,87275898.0
2024-04-01,10.52,10.65,10.51,10.64,119108796.0
2024-04-02,10.63,10.68,10.53,10.55,108545826.0
2024-04-03,10.53,10.55,10.42,10.46,98184585.0
2024-04-08,10.42,10.49,10.37,10.43,90636052.0
2024-04-09,10.43,10.47,10.36,10.4,85715673.0
2024-04-10,10.38,10.41,10.27,10.28,124639082.0
2024-04-11,10.24,10.29,10.12,10.25,101021340.0
2024-04-12,10.22,10.27,10.04,10.06,130545371.0
2024-04-15,10.07,10.32,10.06,10.29,145320260.0
2024-04-16,10.28,10.39,10.22,10.28,147803643.0
2024-04-17,10.26,10.63,10.21,10.62,223264057.0
2024-04-18,10.58,11.03,10.56,10.8,316591426.0
2024-04-19,10.71,10.82,10.66,10.69,145767502.0
2024-04-22,10.64,10.81,10.45,10.5,200981837.0
2024-04-23,10.51,10.65,10.46,10.54,124002700.0
2024-04-24,10.52,10.57,10.46,10.53,94156774.0
